model,max_tokens,concurrency,runner_rps,myelon_rps,rps_delta_pct,runner_ttft_ms,myelon_ttft_ms,ttft_delta_pct,runner_latency_ms,myelon_latency_ms,latency_delta_pct
Qwen/Qwen3-4B,1,1,7.380,7.406,0.35,135.46,134.99,-0.35,135.47,135.00,-0.35
Qwen/Qwen3-4B,1,2,9.400,9.138,-2.79,212.69,218.32,2.65,212.70,218.33,2.65
Qwen/Qwen3-4B,1,4,11.799,10.928,-7.38,337.06,364.85,8.24,337.06,364.86,8.25
Qwen/Qwen3-4B,1,8,13.723,13.868,1.06,576.72,570.78,-1.03,576.73,570.79,-1.03
Qwen/Qwen3-4B,1,16,15.507,15.481,-0.17,1019.86,1021.74,0.18,1019.87,1021.74,0.18
Qwen/Qwen3-4B,1,32,17.106,16.495,-3.57,1789.22,1883.39,5.26,1789.22,1883.39,5.26
Qwen/Qwen3-4B,1,64,17.314,16.957,-2.06,3540.13,3593.18,1.50,3540.13,3593.18,1.50
Qwen/Qwen3-4B,4,1,6.222,6.236,0.23,160.67,160.32,-0.22,160.68,160.33,-0.22
Qwen/Qwen3-4B,4,2,7.808,8.178,4.74,256.04,244.45,-4.53,256.05,244.46,-4.53
Qwen/Qwen3-4B,4,4,10.431,11.033,5.77,383.22,362.43,-5.43,383.22,362.43,-5.43
Qwen/Qwen3-4B,4,8,13.273,13.843,4.29,602.55,577.58,-4.14,602.56,577.59,-4.14
Qwen/Qwen3-4B,4,16,15.194,15.360,1.09,1052.36,1040.85,-1.09,1052.37,1040.86,-1.09
Qwen/Qwen3-4B,4,32,16.615,16.226,-2.34,1924.78,1968.29,2.26,1924.78,1968.30,2.26
Qwen/Qwen3-4B,4,64,17.085,16.882,-1.19,3738.97,3786.68,1.28,3738.97,3786.68,1.28
Qwen/Qwen3-0.6B,1,1,11.602,11.822,1.90,86.15,84.54,-1.87,86.16,84.55,-1.87
Qwen/Qwen3-0.6B,1,2,15.054,14.983,-0.47,132.79,133.26,0.35,132.79,133.27,0.36
Qwen/Qwen3-0.6B,1,4,20.914,19.787,-5.39,189.62,201.58,6.31,189.63,201.59,6.31
Qwen/Qwen3-0.6B,1,8,29.218,29.938,2.46,271.00,267.08,-1.45,271.00,267.09,-1.44
Qwen/Qwen3-0.6B,1,16,35.184,39.402,11.99,442.08,395.85,-10.46,442.08,395.85,-10.46
Qwen/Qwen3-0.6B,1,32,41.210,39.905,-3.17,764.89,781.56,2.18,764.89,781.57,2.18
Qwen/Qwen3-0.6B,1,64,42.053,42.707,1.56,1436.96,1450.09,0.91,1436.96,1450.09,0.91
Qwen/Qwen3-0.6B,4,1,9.733,8.474,-12.94,102.71,117.97,14.86,102.71,117.98,14.87
Qwen/Qwen3-0.6B,4,2,13.727,12.489,-9.02,145.59,160.08,9.95,145.60,160.09,9.95
Qwen/Qwen3-0.6B,4,4,20.642,20.915,1.32,193.69,190.99,-1.39,193.70,191.00,-1.39
Qwen/Qwen3-0.6B,4,8,28.343,30.134,6.32,282.09,265.24,-5.97,282.09,265.24,-5.97
Qwen/Qwen3-0.6B,4,16,36.104,37.002,2.49,442.63,431.61,-2.49,442.63,431.62,-2.49
Qwen/Qwen3-0.6B,4,32,39.634,41.389,4.43,805.78,771.42,-4.26,805.78,771.42,-4.26
Qwen/Qwen3-0.6B,4,64,43.532,41.405,-4.89,1464.04,1540.58,5.23,1464.04,1540.58,5.23
